fecha,producto,categoria,cantidad,precio_unitario,region
2023-01-05,Laptop Pro 15,Electronica,12,18500,Centro
2023-01-10,Monitor 24",Electronica,20,4200,Norte
2023-01-12,Teclado Mecanico,Accesorios,35,850,Centro
2023-01-18,Mouse Inalambrico,Accesorios,50,450,Sur
2023-01-22,Laptop Pro 15,Electronica,8,18500,Norte
2023-01-28,Auriculares BT,Accesorios,30,1200,Centro
2023-02-03,Monitor 24",Electronica,15,4200,Sur
2023-02-07,Laptop Pro 15,Electronica,18,18500,Centro
2023-02-10,Teclado Mecanico,Accesorios,42,850,Norte
2023-02-14,Mouse Inalambrico,Accesorios,65,450,Centro
2023-02-19,Auriculares BT,Accesorios,28,1200,Sur
2023-02-24,Webcam HD,Accesorios,22,980,Centro
2023-03-02,Laptop Pro 15,Electronica,22,18500,Norte
2023-03-08,Monitor 24",Electronica,18,4200,Centro
2023-03-11,Teclado Mecanico,Accesorios,38,850,Sur
2023-03-15,Mouse Inalambrico,Accesorios,72,450,Norte
2023-03-20,Auriculares BT,Accesorios,40,1200,Centro
2023-03-25,Webcam HD,Accesorios,30,980,Sur
2023-03-28,Laptop Pro 15,Electronica,14,18500,Centro
2023-04-04,Monitor 24",Electronica,25,4200,Norte
2023-04-09,Teclado Mecanico,Accesorios,55,850,Centro
2023-04-13,Mouse Inalambrico,Accesorios,80,450,Sur
2023-04-17,Auriculares BT,Accesorios,45,1200,Norte
2023-04-22,Webcam HD,Accesorios,28,980,Centro
2023-04-26,Laptop Pro 15,Electronica,20,18500,Sur
2023-05-03,Monitor 24",Electronica,22,4200,Centro
2023-05-08,Teclado Mecanico,Accesorios,48,850,Norte
2023-05-12,Mouse Inalambrico,Accesorios,90,450,Centro
2023-05-16,Auriculares BT,Accesorios,52,1200,Sur
2023-05-20,Webcam HD,Accesorios,35,980,Norte
2023-05-25,Laptop Pro 15,Electronica,25,18500,Centro
2023-05-29,Monitor 24",Electronica,30,4200,Sur
2023-06-04,Teclado Mecanico,Accesorios,60,850,Centro
2023-06-09,Mouse Inalambrico,Accesorios,95,450,Norte
2023-06-13,Auriculares BT,Accesorios,58,1200,Centro
2023-06-18,Webcam HD,Accesorios,40,980,Sur
2023-06-22,Laptop Pro 15,Electronica,28,18500,Norte
2023-06-27,Monitor 24",Electronica,20,4200,Centro
2023-07-03,Teclado Mecanico,Accesorios,50,850,Sur
2023-07-08,Mouse Inalambrico,Accesorios,88,450,Centro
2023-07-12,Auriculares BT,Accesorios,62,1200,Norte
2023-07-17,Webcam HD,Accesorios,45,980,Centro
2023-07-21,Laptop Pro 15,Electronica,15,18500,Sur
2023-07-26,Monitor 24",Electronica,18,4200,Norte
2023-07-30,Teclado Mecanico,Accesorios,44,850,Centro
2023-08-05,Mouse Inalambrico,Accesorios,100,450,Sur
2023-08-09,Auriculares BT,Accesorios,70,1200,Centro
2023-08-14,Webcam HD,Accesorios,50,980,Norte
2023-08-18,Laptop Pro 15,Electronica,30,18500,Centro
2023-08-23,Monitor 24",Electronica,28,4200,Sur
2023-08-27,Teclado Mecanico,Accesorios,65,850,Norte
2023-09-03,Mouse Inalambrico,Accesorios,110,450,Centro
2023-09-07,Auriculares BT,Accesorios,75,1200,Sur
2023-09-12,Webcam HD,Accesorios,55,980,Centro
2023-09-16,Laptop Pro 15,Electronica,35,18500,Norte
2023-09-21,Monitor 24",Electronica,32,4200,Centro
2023-09-25,Teclado Mecanico,Accesorios,70,850,Sur
2023-09-29,Mouse Inalambrico,Accesorios,120,450,Norte
2023-10-04,Auriculares BT,Accesorios,82,1200,Centro
2023-10-09,Webcam HD,Accesorios,60,980,Sur
2023-10-13,Laptop Pro 15,Electronica,42,18500,Centro
2023-10-18,Monitor 24",Electronica,38,4200,Norte
2023-10-22,Teclado Mecanico,Accesorios,80,850,Centro
2023-10-27,Mouse Inalambrico,Accesorios,130,450,Sur
2023-11-02,Auriculares BT,Accesorios,95,1200,Norte
2023-11-06,Webcam HD,Accesorios,68,980,Centro
2023-11-10,Laptop Pro 15,Electronica,50,18500,Sur
2023-11-14,Monitor 24",Electronica,45,4200,Centro
2023-11-18,Teclado Mecanico,Accesorios,90,850,Norte
2023-11-22,Mouse Inalambrico,Accesorios,145,450,Centro
2023-11-26,Auriculares BT,Accesorios,110,1200,Sur
2023-11-30,Webcam HD,Accesorios,75,980,Norte
2023-12-04,Laptop Pro 15,Electronica,60,18500,Centro
2023-12-08,Monitor 24",Electronica,52,4200,Sur
2023-12-12,Teclado Mecanico,Accesorios,95,850,Norte
2023-12-16,Mouse Inalambrico,Accesorios,160,450,Centro
2023-12-20,Auriculares BT,Accesorios,125,1200,Sur
2023-12-24,Webcam HD,Accesorios,85,980,Norte
2023-12-28,Laptop Pro 15,Electronica,55,18500,Centro
2024-01-05,Monitor 24",Electronica,30,4400,Sur
2024-01-10,Teclado Mecanico,Accesorios,60,900,Norte
2024-01-14,Mouse Inalambrico,Accesorios,100,480,Centro
2024-01-18,Auriculares BT,Accesorios,80,1300,Sur
2024-01-22,Webcam HD,Accesorios,55,1050,Norte
2024-01-26,Laptop Pro 15,Electronica,38,19000,Centro
2024-02-03,Monitor 24",Electronica,35,4400,Norte
2024-02-07,Teclado Mecanico,Accesorios,65,900,Centro
2024-02-11,Mouse Inalambrico,Accesorios,115,480,Sur
2024-02-15,Auriculares BT,Accesorios,88,1300,Norte
2024-02-19,Webcam HD,Accesorios,62,1050,Centro
2024-02-23,Laptop Pro 15,Electronica,42,19000,Sur
2024-03-02,Monitor 24",Electronica,40,4400,Centro
2024-03-06,Teclado Mecanico,Accesorios,72,900,Norte
2024-03-10,Mouse Inalambrico,Accesorios,125,480,Centro
2024-03-14,Auriculares BT,Accesorios,95,1300,Sur
2024-03-18,Webcam HD,Accesorios,70,1050,Norte
2024-03-22,Laptop Pro 15,Electronica,48,19000,Centro
2024-03-26,Monitor 24",Electronica,45,4400,Sur
2024-03-30,Teclado Mecanico,Accesorios,78,900,Norte
